Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,21,885",10-01-2017,9/30/2018,Abilene,3256772474,"$1,713,668","$206,098","$216,728","$2,778,520","$2,803,912",Yes,Yes,"2,04,986","10,775","26,539","15,673","2,84,001","5,31,865","38,561","3,59,044","1,99,460","8,05,401",Yes,70,"88,955","1,99,835","3,156",52
Shackelford County Library,"3,328",01-01-2018,12/31/2018,Albany,3257622672,"$11,123","$1,143","$1,500",$0,"$27,036",Yes,Yes,"9,575",635,"5,507","1,520","18,121","4,765",983,"2,663",114,"3,646",Yes,11,"1,341",0,"1,459",51
Anson Public Library,"2,310",01-01-2018,12/31/2018,Anson,3258232711,"$9,626","$3,244",$0,"$9,000","$10,965",Yes,Yes,"17,639",13,0,0,"17,665","1,998","3,642","1,061",0,"1,448",Yes,5,"1,500",0,"1,479",52
Stonewall County Library,"1,388",10-01-2017,9/30/2018,Aspermont,9409892730,"$23,928","$3,359","$1,500",$0,"$45,493",Yes,Yes,"14,957",561,"2,793","1,103","19,555","2,374",913,877,"2,055","4,546",Yes,8,343,0,"1,248",52
Callahan County Library,"3,301",10-01-2017,9/30/2018,Baird,3258545875,"$10,967",$717,$0,$442,"$13,213",No,Yes,"16,152",332,0,0,"16,484","1,446",55,435,0,656,Yes,2,504,0,781,46
Carnegie Library of Ballinger,"5,331",01-01-2018,12/31/2018,Ballinger,3253653616,"$32,603","$6,254",$0,"$10,000","$69,003",Yes,Yes,"13,036",636,"60,000",0,"74,472","5,843","4,728","8,180",500,"13,235",Yes,7,808,0,"1,728",52
Reagan County Library,"3,710",10-01-2017,9/30/2018,Big Lake,3258842854,"$152,448","$9,218","$5,124",$0,"$182,105",Yes,Yes,"15,379",462,"7,483","1,470","25,303","9,810","2,412","2,973",182,"4,899",Yes,11,"2,224",0,"2,250",51
McCulloch County Library,"7,957",10-01-2017,9/30/2018,Brady,3255972617,"$107,633","$6,770","$2,230",$0,"$213,837",Yes,Yes,"15,447",678,"22,363","9,490","48,736","14,204","6,509","16,224","7,959","27,953",Yes,7,"2,534",0,"1,937",52
Breckenridge Library,"9,337",01-01-2018,12/31/2018,Breckenridge,2545595505,"$46,715","$7,786","$1,500","$13,900","$97,030",Yes,Yes,"27,420","1,295","7,837","1,551","38,685","6,322","3,616","4,227",487,"5,950",Yes,9,"1,256",0,"1,155",50
Brownwood Public Library,"38,053",10-01-2017,9/30/2018,Brownwood,3256460155,"$210,621","$15,087","$4,317","$226,302","$358,635",Yes,Yes,"41,309","1,521","6,021","1,695","51,648","71,153","26,053","36,950","6,100","70,268",Yes,23,"15,832","31,989","2,648",52
